,id,plus,minus
0,role_160325,60,3
1,role_1928641,32,1
2,role_1966145,27,1
3,role_1973000,27,1
4,role_1973001,28,1
5,role_1973002,30,0
6,role_1973003,29,1
7,role_1973005,29,2
8,role_1973007,32,1
9,role_1973008,27,1
10,role_1973010,38,7
11,role_1973011,49,3
12,role_2088754,34,2
13,role_16800,165,4
14,role_16801,115,27
15,role_16803,131,12
16,role_16802,152,10
17,role_16804,147,6
18,role_56008,108,10
19,role_62460,108,4
20,role_72744,129,3
21,role_83813,47,2
22,role_89473,105,22
23,role_124124,135,7
24,role_132138,139,3
25,role_132139,121,5
26,role_132140,83,3
27,role_132141,77,6
28,role_132143,4,0
